Campus ID,VisaType,D601,D602,D603,D604,D606,D605,D607,Ele1,Ele2,Ele3,Ele4
KM73619,F1 - Student Visa,1,1,2,1,0,3,2,2,3,3,0
KN44173,F1 - Student Visa,1,1,2,2,0,1,3,2,3,3,0
KO15853,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
KO67574,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
KP56490,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
KQ39776,Permanent Resident,0,2,3,1,0,4,6,5,5,6,0
KQ79451,F1 - Student Visa,1,2,3,1,0,1,2,2,3,3,3
KR62855,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
KT97617,F1 - Student Visa,1,2,2,1,4,2,1,3,3,3,0
KX35537,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
KZ10132,F1 - Student Visa,1,1,2,1,0,2,2,3,3,3,0
LA32371,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
LA34291,F1 - Student Visa,1,2,2,2,0,1,0,1,0,0,0
LB04019,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
LC97291,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
LD91652,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
LE95092,F1 - Student Visa,1,0,0,1,0,0,0,1,0,0,0
LF66973,F1 - Student Visa,1,2,3,1,0,1,2,2,3,3,0
LF78371,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
LG27051,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
LG56610,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
LG66854,F1 - Student Visa,1,1,3,1,0,3,2,2,2,3,0
LI73411,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
LJ52738,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
LJ83576,F1 - Student Visa,1,1.5,2,1,0,2,1,2,0,0,0
LL09457,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,3
LL49217,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
LM09454,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
LM84210,F1 - Student Visa,1,2,2,1.5,3,1,1,2,3,3,4
