,school_name,state_name_latest_available_year,school_id_nces_assigned_latest_available_year,county_name,mailing_address_3,location_zip,magnet_school,shared_time_school,urban_centric_locale,school_wide_title_i,state_agency_id,state_school_id
628,CHERRY RUN ELEM,Virginia,510126001992,Fairfax County,†,22015,2-No,2-No,21-Suburb: Large,†,VA-029,VA-029-0290480
629,CHESAPEAKE ALTERNATIVE,Virginia,510081002222,Chesapeake city,†,23325,2-No,1-Yes,21-Suburb: Large,†,VA-136,VA-136-1360130
630,CHESAPEAKE BAY GOV. SCH.,Virginia,510003401934,Essex County,†,22560,1-Yes,1-Yes,32-Town: Distant,†,VA-269,VA-269-2690010
631,CHESAPEAKE BAY MIDDLE,Maryland,240006000042,Anne Arundel County,†,21122,2-No,2-No,21-Suburb: Large,†,MD-02,MD-02-022423
632,CHESAPEAKE CAREER CENTER,Virginia,510081000285,Chesapeake city,†,23322,2-No,1-Yes,21-Suburb: Large,†,VA-136,VA-136-1360780
633,CHESAPEAKE CHARTER SCHOOL,Maryland,240060001639,St. Mary's County,†,20653,2-No,2-No,23-Suburb: Small,†,MD-18,MD-18-180813
634,CHESAPEAKE CITY ELEMENTARY,Maryland,240024000565,Cecil County,†,21915,2-No,2-No,41-Rural: Fringe,†,MD-07,MD-07-070205
635,CHESAPEAKE HIGH,Maryland,240012000362,Baltimore County,†,21221,1-Yes,2-No,21-Suburb: Large,1-Yes,MD-03,MD-03-031574
636,CHESAPEAKE HIGH,Maryland,240006000058,Anne Arundel County,†,21122,2-No,2-No,21-Suburb: Large,†,MD-02,MD-02-022273
637,CHESAPEAKE MATH AND IT PUBLIC CHARTER,Maryland,240051001708,Prince George's County,†,20707,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-161015
638,CHESAPEAKE MATH AND IT SOUTH PUBLIC CHARTER,MARYLAND,240051001726,Prince George's County,†,20772,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-161351
639,CHESAPEAKE SCIENCE POINT,Maryland,240006001401,Anne Arundel County,†,21076,2-No,2-No,21-Suburb: Large,†,MD-02,MD-02-026223
640,CHESAPEAKE TERRACE ELEMENTARY,Maryland,240012000363,Baltimore County,†,21219,2-No,2-No,21-Suburb: Large,†,MD-03,MD-03-031511
641,CHESTERBROOK ELEM,Virginia,510126000448,Fairfax County,†,22101,2-No,2-No,21-Suburb: Large,†,VA-029,VA-029-0290100
