,school_name,state_name_latest_available_year,school_id_nces_assigned_latest_available_year,county_name,mailing_address_3,location_zip,magnet_school,shared_time_school,urban_centric_locale,school_wide_title_i,state_agency_id,state_school_id
1660,IMAGINE FOUNDATIONS AT MORNINGSIDE PCS,Maryland,240051001706,Prince George's County,†,20746,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-161522
1661,IMAGINE LINCOLN PUBLIC CHARTER,Maryland,240051001648,Prince George's County,†,20748,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-160662
1662,INDEPENDENCE ELEM,Virginia,510169000696,Grayson County,†,24348,2-No,2-No,43-Rural: Remote,1-Yes,VA-038,VA-038-0380422
1663,INDEPENDENCE HIGH,VIRGINIA,510225003061,Loudoun County,†,20148,†,†,41-Rural: Fringe,†,VA-053,VA-053-0531110
1664,INDEPENDENCE MIDDLE,Virginia,510169002189,Grayson County,†,24348,2-No,2-No,43-Rural: Remote,†,VA-038,VA-038-0380011
1665,INDEPENDENCE MIDDLE,Virginia,510384001690,Virginia Beach city,†,23455,2-No,2-No,11-City: Large,†,VA-128,VA-128-1280740
1666,INDEPENDENCE SCHOOL LOCAL I,Maryland,240009001632,Baltimore city,†,21211,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300333
1667,INDEPENDENT HILL,Virginia,510313001302,Prince William County,†,20112,2-No,1-Yes,41-Rural: Fringe,†,VA-075,VA-075-0750010
1668,INDIAN HEAD ELEMENTARY SCHOOL,Maryland,240027000591,Charles County,†,20640,2-No,2-No,22-Suburb: Mid-size,1-Yes,MD-08,MD-08-080710
1669,INDIAN HOLLOW ELEM,Virginia,510147002121,Frederick County,†,22603,2-No,2-No,41-Rural: Fringe,1-Yes,VA-034,VA-034-0340040
1670,INDIAN LAKES ELEM,Virginia,510384001880,Virginia Beach city,†,23464,2-No,2-No,11-City: Large,†,VA-128,VA-128-1280800
1671,INDIAN QUEEN ELEMENTARY,Maryland,240051001066,Prince George's County,†,20744,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-161233
1672,INDIAN RIVER HIGH,Virginia,510081000299,Chesapeake city,†,23325,2-No,2-No,21-Suburb: Large,†,VA-136,VA-136-1360830
1673,INDIAN RIVER MIDDLE,Virginia,510081000300,Chesapeake city,†,23325,2-No,2-No,21-Suburb: Large,†,VA-136,VA-136-1360710
1674,INDIAN VALLEY ELEM,Virginia,510135000620,Floyd County,†,24141,2-No,2-No,42-Rural: Distant,1-Yes,VA-031,VA-031-0310650
1675,INGENUITY PREP PCS,District of Columbia,110009000460,District of Columbia,†,20032,†,–,11-City: Large,–,DC-173,DC-173-200
1676,INGLESIDE ELEM,Virginia,510267001100,Norfolk city,†,23502,2-No,2-No,12-City: Mid-size,1-Yes,VA-118,VA-118-1180610
1677,INSPIRED TEACHING DEMONSTRATION PCS,District of Columbia,110008000437,District of Columbia,†,20002,†,–,11-City: Large,–,DC-165,DC-165-3064
1678,INTERAGENCY ALT. SEC. CTR,Virginia,510126000572,Fairfax County,†,22031,2-No,1-Yes,21-Suburb: Large,†,VA-029,VA-029-0291015
1679,INTERNATIONAL HIGH SCHOOL @ LANGLEY PARK,MARYLAND,240051001738,Prince George's County,†,20710,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-161732
1680,INTERNATIONAL HIGH SCHOOL @ LARGO,MARYLAND,240051001737,Prince George's County,†,20772,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-161352
1681,IRVING MIDDLE,Virginia,510126000504,Fairfax County,†,22152,1-Yes,2-No,21-Suburb: Large,†,VA-029,VA-029-0291120
1682,ISAAC J. GOURDINE MIDDLE,Maryland,240051001095,Prince George's County,†,20744,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-160912
1683,ISEAP PRGM,Virginia,510189002844,Henrico County,†,23075,2-No,1-Yes,21-Suburb: Large,†,VA-043,VA-043-0430770
1684,ISLAND CREEK ELEM,Virginia,510126002334,Fairfax County,†,22315,2-No,2-No,21-Suburb: Large,†,VA-029,VA-029-0292235
1685,J A CHALKLEY ELEM,Virginia,510084000334,Chesterfield County,†,23832,2-No,2-No,21-Suburb: Large,1-Yes,VA-021,VA-021-0210550
1686,J B WATKINS ELEM,Virginia,510084000335,Chesterfield County,†,23114,2-No,2-No,21-Suburb: Large,†,VA-021,VA-021-0210650
1687,J BLAINE BLAYTON ELEM,Virginia,510402002815,James City County,†,23188,2-No,2-No,41-Rural: Fringe,2-No,VA-131,VA-131-1310190
1688,J G HENING ELEM,Virginia,510084000336,Chesterfield County,†,23234,2-No,2-No,21-Suburb: Large,1-Yes,VA-021,VA-021-0210500
1689,J MICHAEL LUNSFORD MIDDLE,Virginia,510225002853,Loudoun County,†,20152,2-No,2-No,41-Rural: Fringe,†,VA-053,VA-053-0530580
1690,J. C. PARKS ELEMENTARY SCHOOL,Maryland,240027000592,Charles County,†,20640,2-No,2-No,41-Rural: Fringe,2-No,MD-08,MD-08-080703
1691,J. FRANK DENT ELEMENTARY,Maryland,240051001068,Prince George's County,†,20744,2-No,2-No,21-Suburb: Large,1-Yes,MD-16,MD-16-161231
1692,J. FRANK HILLYARD MIDDLE,Virginia,510339001498,Rockingham County,†,22815,2-No,2-No,32-Town: Distant,†,VA-082,VA-082-0820960
1693,J. LUPTON SIMPSON MIDDLE,Virginia,510225000921,Loudoun County,†,20175,2-No,2-No,21-Suburb: Large,†,VA-053,VA-053-0530020
1694,J. M. TAWES VOCATIONAL CENTER,Maryland,240057001083,Somerset County,†,21871,2-No,1-Yes,42-Rural: Distant,†,MD-19,MD-19-191302
1695,J. P. RYON ELEMENTARY SCHOOL,Maryland,240027000593,Charles County,†,20601,2-No,2-No,22-Suburb: Mid-size,1-Yes,MD-08,MD-08-080606
1696,J.B. FISHER ELEM,Virginia,510324001863,Richmond city,†,23235,2-No,2-No,12-City: Mid-size,1-Yes,VA-123,VA-123-1231640
1697,J.E.J. MOORE MIDDLE,Virginia,510309001276,Prince George County,†,23842,2-No,2-No,41-Rural: Fringe,†,VA-074,VA-074-0740320
1698,J.I. BURTON HIGH,Virginia,510276001162,Norton city,†,24273,2-No,2-No,32-Town: Distant,†,VA-119,VA-119-1190020
1699,J.L. FRANCIS ELEM,Virginia,510324001378,Richmond city,†,23224,2-No,2-No,12-City: Mid-size,1-Yes,VA-123,VA-123-1231710
1700,J.M. DOZIER MIDDLE,Virginia,510264001056,Newport News city,†,23608,2-No,2-No,12-City: Mid-size,†,VA-117,VA-117-1170020
1701,J.O. WILSON ES,District of Columbia,110003000062,District of Columbia,†,20002,†,–,11-City: Large,–,DC-001,DC-001-339
1702,J.W. ADAMS COMBINED,Virginia,510408001790,Wise County,†,24279,2-No,2-No,42-Rural: Distant,2-No,VA-096,VA-096-0960073
1703,J.W. ALVEY ELEM,Virginia,510313002417,Prince William County,†,20169,2-No,2-No,21-Suburb: Large,†,VA-075,VA-075-0750220
1704,JACK JOUETT MIDDLE,Virginia,510009000023,Albemarle County,†,22901,2-No,2-No,41-Rural: Fringe,†,VA-002,VA-002-0020950
1705,JACKSON MEMORIAL ELEM,Virginia,510411001799,Wythe County,†,24312,2-No,2-No,42-Rural: Distant,1-Yes,VA-097,VA-097-0970730
1706,JACKSON MIDDLE,Virginia,510126000530,Fairfax County,†,22042,2-No,2-No,21-Suburb: Large,†,VA-029,VA-029-0290673
1707,JACKSON P BURLEY MIDDLE,Virginia,510009000024,Charlottesville city,†,22903,2-No,2-No,13-City: Small,†,VA-002,VA-002-0020069
1708,JACKSON RIVER GOV. SCH.,Virginia,510006302563,Alleghany County,†,24422,1-Yes,1-Yes,41-Rural: Fringe,†,VA-274,VA-274-2740010
1709,JACKSON RIVER TECH CTR,Virginia,510000402016,Alleghany County,†,24426,2-No,1-Yes,42-Rural: Distant,†,VA-302,VA-302-3020330
1710,JACKSON ROAD ELEMENTARY,Maryland,240048000854,Montgomery County,†,20904,2-No,2-No,21-Suburb: Large,1-Yes,MD-15,MD-15-150305
1711,JACKSON-VIA ELEM,Virginia,510078000276,Charlottesville city,†,22903,2-No,2-No,13-City: Small,1-Yes,VA-104,VA-104-1040120
1712,JACKSONVILLE ELEMENTARY,Maryland,240012000467,Baltimore County,†,21131,2-No,2-No,21-Suburb: Large,†,MD-03,MD-03-031002
1713,JACOBS ROAD ELEM,Virginia,510084002098,Chesterfield County,†,23832,2-No,2-No,21-Suburb: Large,1-Yes,VA-021,VA-021-0210400
1714,JACOBSVILLE ELEMENTARY,Maryland,240006000082,Anne Arundel County,†,21122,2-No,2-No,21-Suburb: Large,†,MD-02,MD-02-022142
1715,JACOX ELEM,Virginia,510267001101,Norfolk city,†,23504,2-No,2-No,12-City: Mid-size,1-Yes,VA-118,VA-118-1180430
1716,JAMES BLAIR MIDDLE,VIRGINIA,510402003054,Williamsburg city,†,23185,2-No,2-No,23-Suburb: Small,†,VA-131,VA-131-1310025
1717,JAMES E. DUCKWORTH REGIONAL CENTER,Maryland,240051001354,Prince George's County,†,20705,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-160108
1718,JAMES G. BRUMFIELD ELEM,Virginia,510132002533,Fauquier County,†,20186,2-No,2-No,21-Suburb: Large,†,VA-030,VA-030-0300853
1719,JAMES H. HARRISON ELEMENTARY,Maryland,240051001069,Prince George's County,†,20708,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-160109
1720,JAMES HUBERT BLAKE HIGH,Maryland,240048001044,Montgomery County,†,20905,2-No,2-No,21-Suburb: Large,2-No,MD-15,MD-15-150321
1721,JAMES HURST ELEM,Virginia,510300001252,Portsmouth city,†,23702,2-No,2-No,13-City: Small,1-Yes,VA-121,VA-121-1211400
1722,JAMES K POLK ELEM,Virginia,510012000043,Alexandria city,†,22304,2-No,2-No,12-City: Mid-size,1-Yes,VA-101,VA-101-1010220
1723,JAMES M. BENNETT HIGH,Maryland,240069001305,Wicomico County,†,21804,2-No,2-No,13-City: Small,†,MD-22,MD-22-221307
1724,JAMES MADISON MIDDLE,Maryland,240051001475,Prince George's County,†,20772,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-161510
1725,JAMES MADISON MIDDLE,Virginia,510330001424,Roanoke city,†,24015,2-No,2-No,13-City: Small,†,VA-124,VA-124-1240450
1726,JAMES MCHENRY ELEMENTARY,Maryland,240051001071,Prince George's County,†,20706,2-No,2-No,21-Suburb: Large,1-Yes,MD-16,MD-16-162013
1727,JAMES MCHENRY ELEMENTARY/MIDDLE,Maryland,240009000253,Baltimore city,†,21223,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300010
1728,JAMES MONROE ELEM,Virginia,510267002211,Norfolk city,†,23508,2-No,2-No,12-City: Mid-size,1-Yes,VA-118,VA-118-1180131
1729,JAMES MONROE HIGH,Virginia,510151000661,Fredericksburg city,†,22401,2-No,2-No,22-Suburb: Mid-size,†,VA-110,VA-110-1100040
1730,JAMES MOSHER ELEMENTARY,Maryland,240009000255,Baltimore city,†,21216,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300144
1731,JAMES RIVER ELEM,Virginia,510402000705,James City County,†,23185,2-No,2-No,41-Rural: Fringe,1-Yes,VA-131,VA-131-1310201
1732,JAMES RIVER HIGH,Virginia,510084000766,Chesterfield County,†,23113,2-No,2-No,21-Suburb: Large,†,VA-021,VA-021-0210770
1733,JAMES RIVER HIGH,Virginia,510042000171,Botetourt County,†,24066,2-No,2-No,42-Rural: Distant,†,VA-012,VA-012-0120430
1734,JAMES RYDER RANDALL ELEMENTARY,Maryland,240051001072,Prince George's County,†,20735,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-160909
1735,JAMES S RUSSELL MIDDLE,Virginia,510048000182,Brunswick County,†,23868,2-No,2-No,41-Rural: Fringe,1-Yes,VA-013,VA-013-0130660
1736,JAMES WOOD HIGH,Virginia,510147000652,Frederick County,†,22603,2-No,2-No,41-Rural: Fringe,†,VA-034,VA-034-0340030
1737,JAMES WOOD MIDDLE,Virginia,510147000523,Winchester city,†,22601,2-No,2-No,13-City: Small,†,VA-034,VA-034-0340420
1738,JAMESTOWN ELEM,Virginia,510027000097,Arlington County,†,22207,2-No,2-No,12-City: Mid-size,†,VA-007,VA-007-0070440
1739,JAMESTOWN HIGH,Virginia,510402001665,James City County,†,23135,2-No,2-No,23-Suburb: Small,†,VA-131,VA-131-1310202
1740,JANE H. BRYAN ELEM,Virginia,510180000743,Hampton city,†,23663,2-No,2-No,12-City: Mid-size,1-Yes,VA-112,VA-112-1120250
1741,JANNEY ES,District of Columbia,110003000179,District of Columbia,†,20016,†,–,11-City: Large,–,DC-001,DC-001-254
1742,JARRETTSVILLE ELEMENTARY,Maryland,240039000702,Harford County,†,21084,2-No,2-No,41-Rural: Fringe,†,MD-12,MD-12-120436
1743,JEFFERS HILL ELEMENTARY,Maryland,240042000740,Howard County,†,21045,2-No,2-No,13-City: Small,2-No,MD-13,MD-13-130613
1744,JEFFERSON FOREST HIGH,Virginia,510036002175,Bedford County,†,24551,2-No,2-No,22-Suburb: Mid-size,†,VA-010,VA-010-0101212
1745,JEFFERSON MIDDLE,Virginia,510027000098,Arlington County,†,22204,2-No,2-No,12-City: Mid-size,†,VA-007,VA-007-0070180
1746,JEFFERSON MS ACADEMY,District of Columbia,110003000453,District of Columbia,†,20024,†,–,11-City: Large,–,DC-001,DC-001-433
1747,JEFFERSON-HOUSTON ELEM,Virginia,510012000044,Alexandria city,†,22314,2-No,2-No,12-City: Mid-size,1-Yes,VA-101,VA-101-1010090
1748,JENNIE DEAN ELEM,Virginia,510236000977,Manassas city,†,20110,2-No,2-No,21-Suburb: Large,1-Yes,VA-143,VA-143-1430310
1749,JESSIE THACKREY PRESCHOOL,VIRGINIA,510129002971,Falls Church city,†,22046,2-No,2-No,21-Suburb: Large,†,VA-109,VA-109-1090270
1750,JESSUP ELEMENTARY,Maryland,240006000083,Anne Arundel County,†,20794,2-No,2-No,21-Suburb: Large,†,MD-02,MD-02-023112
1751,JETER-WATSON INTERMEDIATE,Virginia,510099000369,Covington city,†,24426,2-No,2-No,32-Town: Distant,†,VA-107,VA-107-1070360
1752,JOANN LELECK AT BROAD ACRES ELEMENTARY,Maryland,240048000788,Montgomery County,†,20903,2-No,2-No,13-City: Small,1-Yes,MD-15,MD-15-150304
1753,JOHN ADAMS ELEM,Virginia,510012000045,Alexandria city,†,22311,1-Yes,2-No,12-City: Mid-size,1-Yes,VA-101,VA-101-1010230
1754,JOHN ARCHER SCHOOL,Maryland,240039000703,Harford County,†,21015,2-No,2-No,41-Rural: Fringe,†,MD-12,MD-12-120391
1755,JOHN B. CARY ELEM,Virginia,510180000745,Hampton city,†,23663,2-No,2-No,12-City: Mid-size,1-Yes,VA-112,VA-112-1120270
1756,JOHN B. CARY ELEM,Virginia,510324001379,Richmond city,†,23221,2-No,2-No,12-City: Mid-size,1-Yes,VA-123,VA-123-1230600
1757,JOHN B. DEY ELEM,Virginia,510384001691,Virginia Beach city,†,23454,2-No,2-No,11-City: Large,†,VA-128,VA-128-1280360
1758,JOHN C. MYERS ELEM,Virginia,510339001869,Rockingham County,†,22815,2-No,2-No,32-Town: Distant,1-Yes,VA-082,VA-082-0821071
1759,JOHN CHAMPE HS,Virginia,510225002865,Loudoun County,†,20105,2-No,2-No,21-Suburb: Large,†,VA-053,VA-053-0530370
1760,JOHN D. JENKINS ELEMENTARY,VIRGINIA,510313003065,Prince William County,†,22192,†,†,21-Suburb: Large,†,VA-075,VA-075-0750319
1761,JOHN F. KENNEDY HIGH,Maryland,240048000855,Montgomery County,†,20902,2-No,2-No,21-Suburb: Large,1-Yes,MD-15,MD-15-150815
1762,JOHN F. KENNEDY MIDDLE,Virginia,510371001621,Suffolk city,†,23434,2-No,2-No,21-Suburb: Large,†,VA-127,VA-127-1270370
1763,JOHN F. PATTIE SR. ELEM,Virginia,510313001303,Prince William County,†,22025,2-No,2-No,21-Suburb: Large,†,VA-075,VA-075-0750130
1764,JOHN H. BAYNE ELEMENTARY,Maryland,240051001075,Prince George's County,†,20743,2-No,2-No,21-Suburb: Large,1-Yes,MD-16,MD-16-161816
1765,JOHN H. POOLE MIDDLE,Maryland,240048000861,Montgomery County,†,20837,2-No,2-No,31-Town: Fringe,†,MD-15,MD-15-150247
1766,JOHN HANDLEY HIGH,Virginia,510405001780,Winchester city,†,22601,2-No,2-No,13-City: Small,†,VA-132,VA-132-1320040
1767,JOHN HANSON MIDDLE SCHOOL,Maryland,240027000595,Charles County,†,20601,2-No,2-No,22-Suburb: Mid-size,1-Yes,MD-08,MD-08-080608
1768,JOHN HANSON MONTESSORI,Maryland,240051000870,Prince George's County,†,20745,1-Yes,2-No,21-Suburb: Large,†,MD-16,MD-16-161206
1769,JOHN HUMBIRD ELEMENTARY,Maryland,240003000019,Allegany County,†,21502,2-No,2-No,13-City: Small,1-Yes,MD-01,MD-01-010402
1770,JOHN J. WRIGHT ED. AND CULTURAL CTR.,Virginia,510364002793,Spotsylvania County,†,22553,2-No,1-Yes,41-Rural: Fringe,†,VA-088,VA-088-0880221
1771,JOHN KERR ELEM,VIRGINIA,510405003024,Winchester city,†,22601,2-No,2-No,13-City: Small,1-Yes,VA-132,VA-132-1320090
1772,JOHN L GILDNER REGIONAL INST FOR CHILDREN & ADOL,Maryland,240048001398,Montgomery County,†,20850,2-No,2-No,21-Suburb: Large,2-No,MD-15,MD-15-150965
1773,JOHN L. HURT ELEM,Virginia,510294001219,Pittsylvania County,†,24563,2-No,2-No,32-Town: Distant,1-Yes,VA-071,VA-071-0710030
1774,JOHN M. GANDY ELEM,Virginia,510183000771,Hanover County,†,23005,2-No,2-No,21-Suburb: Large,†,VA-042,VA-042-0420162
1775,JOHN MARSHALL EARLY CHILDHOOD CTR,Virginia,510264002857,Newport News city,†,23607,2-No,2-No,12-City: Mid-size,1-Yes,VA-117,VA-117-1171411
1776,JOHN MARSHALL HIGH,Virginia,510324002080,Richmond city,†,23227,2-No,2-No,12-City: Mid-size,1-Yes,VA-123,VA-123-1230730
1777,JOHN N. DALTON INT.,Virginia,510318001858,Radford city,†,24141,2-No,2-No,13-City: Small,†,VA-122,VA-122-1220042
1778,JOHN P. FISHWICK MIDDLE,Virginia,510330001434,Roanoke city,†,24013,2-No,2-No,13-City: Small,1-Yes,VA-124,VA-124-1240230
1779,JOHN RUHRAH ELEMENTARY/MIDDLE,Maryland,240009000257,Baltimore city,†,21224,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300228
1780,JOHN S. BATTLE HIGH,Virginia,510390001746,Washington County,†,24202,2-No,2-No,23-Suburb: Small,†,VA-094,VA-094-0941040
1781,JOHN T. BAKER MIDDLE SCHOOL,Maryland,240048001456,Montgomery County,†,20872,2-No,2-No,21-Suburb: Large,†,MD-15,MD-15-150705
1782,JOHN TYLER ELEM,Virginia,510180000746,Hampton city,†,23669,2-No,2-No,12-City: Mid-size,1-Yes,VA-112,VA-112-1120440
1783,JOHN TYLER ELEM,Virginia,510300001253,Portsmouth city,†,23707,2-No,2-No,13-City: Small,1-Yes,VA-121,VA-121-1210230
1784,JOHN W. TOLBERT JR. ELEM,Virginia,510225002287,Loudoun County,†,20176,2-No,2-No,21-Suburb: Large,†,VA-053,VA-053-0530950
1785,JOHN W. WAYLAND ELEM,Virginia,510339001499,Rockingham County,†,22812,2-No,2-No,23-Suburb: Small,†,VA-082,VA-082-0820970
1786,JOHN YEATES MIDDLE,Virginia,510371001623,Suffolk city,†,23435,2-No,2-No,21-Suburb: Large,†,VA-127,VA-127-1270380
1787,JOHNNYCAKE ELEMENTARY,Maryland,240012000410,Baltimore County,†,21228,2-No,2-No,21-Suburb: Large,1-Yes,MD-03,MD-03-030105
1788,JOHNSON ELEM,Virginia,510189000789,Henrico County,†,23230,2-No,2-No,21-Suburb: Large,1-Yes,VA-043,VA-043-0430530
1789,JOHNSON ELEM,Virginia,510078000266,Charlottesville city,†,22903,2-No,2-No,13-City: Small,1-Yes,VA-104,VA-104-1040010
1790,JOHNSON MS,District of Columbia,110003000144,District of Columbia,†,20020,†,–,11-City: Large,–,DC-001,DC-001-416
1791,JOHNSON-WILLIAMS MIDDLE,Virginia,510087000353,Clarke County,†,22611,2-No,2-No,31-Town: Fringe,†,VA-022,VA-022-0220280
1792,JOHNSTON SQUARE ELEMENTARY,Maryland,240009000258,Baltimore city,†,21202,2-No,2-No,11-City: Large,1-Yes,MD-30,MD-30-300016
1793,JOLLIFF MIDDLE,Virginia,510081001954,Chesapeake city,†,23321,2-No,2-No,41-Rural: Fringe,†,VA-136,VA-136-1360973
1794,JONATHAN HAGER ELEMENTARY,MARYLAND,240066001740,Washington County,†,21740,2-No,2-No,13-City: Small,1-Yes,MD-21,MD-21-210190
1795,JONES ELEMENTARY,Maryland,240006000084,Anne Arundel County,†,21146,2-No,2-No,21-Suburb: Large,†,MD-02,MD-02-022152
1796,JONES LANE ELEMENTARY,MARYLAND,240048010503,Montgomery County,†,20878,2-No,2-No,21-Suburb: Large,†,MD-15,MD-15-150360
1797,JONESVILLE MIDDLE,Virginia,510219000896,Lee County,†,24263,2-No,2-No,42-Rural: Distant,1-Yes,VA-052,VA-052-0520470
1798,JOPPA VIEW ELEMENTARY,Maryland,240012090444,Baltimore County,†,21128,2-No,2-No,21-Suburb: Large,†,MD-03,MD-03-031109
1799,JOPPATOWNE ELEMENTARY,Maryland,240039000704,Harford County,†,21085,2-No,2-No,22-Suburb: Mid-size,1-Yes,MD-12,MD-12-120137
1800,JOPPATOWNE HIGH,Maryland,240039000705,Harford County,†,21085,2-No,2-No,22-Suburb: Mid-size,1-Yes,MD-12,MD-12-120181
1801,JOSEPH B. JOHNSON LRNG. CTR.,Virginia,510236000738,Manassas city,†,20110,2-No,1-Yes,21-Suburb: Large,†,VA-143,VA-143-1430480
1802,JOSEPH C. BRISCOE ACADEMY,Maryland,240009001662,Baltimore city,†,21201,2-No,2-No,11-City: Large,†,MD-30,MD-30-300345
1803,JOSEPH H. SAUNDERS ELEM,Virginia,510264001059,Newport News city,†,23601,2-No,2-No,12-City: Mid-size,1-Yes,VA-117,VA-117-1170300
1804,JOSEPH P. KING JR. MIDDLE,Virginia,510141002431,Franklin city,†,23851,2-No,2-No,32-Town: Distant,1-Yes,VA-135,VA-135-1350561
1805,JOSEPH T HENLEY MIDDLE,Virginia,510009000025,Albemarle County,†,22932,2-No,2-No,41-Rural: Fringe,†,VA-002,VA-002-0020942
1806,JOSEPH VAN PELT ELEM,Virginia,510045000176,Bristol city,†,24201,2-No,2-No,13-City: Small,1-Yes,VA-102,VA-102-1020100
1807,JOUETT ELEM,Virginia,510228002036,Louisa County,†,23117,2-No,2-No,42-Rural: Distant,1-Yes,VA-054,VA-054-0540660
1808,JUDGE SYLVANIA W. WOODS SR. ELEMENTARY,Maryland,240051001137,Prince George's County,†,20706,2-No,2-No,21-Suburb: Large,1-Yes,MD-16,MD-16-161333
1809,JUDITH A. RESNIK ELEMENTARY,Maryland,240048090479,Montgomery County,†,20879,2-No,2-No,21-Suburb: Large,1-Yes,MD-15,MD-15-150514
1810,JUDITH P. HOYER MONTESSORI,Maryland,240051000414,Prince George's County,†,20785,1-Yes,2-No,21-Suburb: Large,†,MD-16,MD-16-160203
1811,JULIUS WEST MIDDLE,Maryland,240048000857,Montgomery County,†,20850,2-No,2-No,13-City: Small,†,MD-15,MD-15-150211
1812,JUSTICE HIGH,Virginia,510126000505,Fairfax County,†,22044,2-No,2-No,21-Suburb: Large,†,VA-029,VA-029-0291070
1813,KAECHELE ELEM,Virginia,510189002953,Henrico County,†,23059,2-No,2-No,21-Suburb: Large,†,VA-043,VA-043-0430082
1814,KATE COLLINS MIDDLE,Virginia,510393001755,Waynesboro city,†,22980,2-No,2-No,13-City: Small,†,VA-130,VA-130-1300640
1815,KATE WALLER BARRETT ELEM,Virginia,510366002320,Stafford County,†,22554,2-No,2-No,21-Suburb: Large,2-No,VA-089,VA-089-0890427
1816,KECOUGHTAN HIGH,Virginia,510180000747,Hampton city,†,23669,2-No,2-No,12-City: Mid-size,†,VA-112,VA-112-1120320
1817,KEENE MILL ELEM,Virginia,510126000508,Fairfax County,†,22152,2-No,2-No,21-Suburb: Large,†,VA-029,VA-029-0291240
1818,KEGOTANK ELEM,Virginia,510006000009,Accomack County,†,23407,2-No,2-No,43-Rural: Remote,1-Yes,VA-001,VA-001-0010600
1819,KEISTER ELEM,Virginia,510186000783,Harrisonburg city,†,22801,2-No,2-No,13-City: Small,1-Yes,VA-113,VA-113-1130050
1820,KELLY MILLER MS,District of Columbia,110003000272,District of Columbia,†,20019,†,–,11-City: Large,–,DC-001,DC-001-421
1821,KEMP MILL ELEMENTARY,Maryland,240048000858,Montgomery County,†,20902,2-No,2-No,21-Suburb: Large,1-Yes,MD-15,MD-15-150805
1822,KEMPSVILLE ELEM,Virginia,510384001693,Virginia Beach city,†,23464,2-No,2-No,11-City: Large,†,VA-128,VA-128-1280450
1823,KEMPSVILLE HIGH,Virginia,510384001694,Virginia Beach city,†,23464,2-No,2-No,11-City: Large,†,VA-128,VA-128-1280620
1824,KEMPSVILLE MEADOWS ELEM,Virginia,510384001696,Virginia Beach city,†,23462,2-No,2-No,11-City: Large,†,VA-128,VA-128-1280410
1825,KEMPSVILLE MIDDLE,Virginia,510384001695,Virginia Beach city,†,23464,2-No,2-No,11-City: Large,†,VA-128,VA-128-1280690
1826,KEMPTOWN ELEMENTARY,Maryland,240033001412,Frederick County,†,21770,2-No,2-No,21-Suburb: Large,†,MD-10,MD-10-100915
1827,KENBRIDGE ELEM,Virginia,510231000946,Lunenburg County,†,23944,2-No,2-No,42-Rural: Distant,1-Yes,VA-055,VA-055-0550240
1828,KENILWORTH ELEMENTARY,Maryland,240051001077,Prince George's County,†,20715,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-160708
1829,KENMOOR EARLY CHILDHOOD CENTER,MARYLAND,240051001731,Prince George's County,†,20785,2-No,2-No,21-Suburb: Large,†,MD-16,MD-16-161313
1830,KENMOOR MIDDLE,Maryland,240051001473,Prince George's County,†,20785,1-Yes,2-No,21-Suburb: Large,†,MD-16,MD-16-161330
1831,KENMORE ELEMENTARY,Maryland,240024001491,Cecil County,†,21921,2-No,2-No,41-Rural: Fringe,†,MD-07,MD-07-070317
1832,KENMORE MIDDLE,Virginia,510027000099,Arlington County,†,22204,2-No,2-No,12-City: Mid-size,†,VA-007,VA-007-0070500
1833,KENNARD ELEMENTARY SCHOOL,Maryland,240054001070,Queen Anne's County,†,21617,2-No,2-No,31-Town: Fringe,†,MD-17,MD-17-170302
1834,KENNETH W CULBERT ELEM,Virginia,510225002809,Loudoun County,†,20158,2-No,2-No,41-Rural: Fringe,†,VA-053,VA-053-0530600
1835,KENSINGTON PARKWOOD ELEMENTARY,Maryland,240048000892,Montgomery County,†,20895,2-No,2-No,21-Suburb: Large,†,MD-15,MD-15-150783
1836,KENT COUNTY HIGH,Maryland,240045000768,Kent County,†,21678,2-No,2-No,42-Rural: Distant,†,MD-14,MD-14-140301
1837,KENT COUNTY MIDDLE SCHOOL,Maryland,240045000766,Kent County,†,21620,2-No,2-No,32-Town: Distant,1-Yes,MD-14,MD-14-140402
1838,KENT GARDENS ELEM,Virginia,510126000509,Fairfax County,†,22101,1-Yes,2-No,21-Suburb: Large,†,VA-029,VA-029-0290980
1839,KENT ISLAND ELEMENTARY SCHOOL,Maryland,240054001194,Queen Anne's County,†,21666,2-No,2-No,21-Suburb: Large,†,MD-17,MD-17-170402
1840,KENT ISLAND HIGH SCHOOL,Maryland,240054001076,Queen Anne's County,†,21666,2-No,2-No,21-Suburb: Large,†,MD-17,MD-17-170405
1841,KENTUCK ELEM,Virginia,510294001220,Pittsylvania County,†,24586,2-No,2-No,42-Rural: Distant,1-Yes,VA-071,VA-071-0711690
