school_name,state_name,lowest_grade_offered,highest_grade_offered,total_students_all_grades,free_and_reduced_lunch_students,reduced-price_lunch_eligible_students,latitude,longitude,magnet_school,charter_school,shared_time_school,urban-centric_locale,school_id_nces_assigned_latest_available_year,county_name,mailing_address_3,location_zip,urban_centric_locale,school_wide_title_i,state_agency_id,state_school_id
MANCHESTER VALLEY HIGH,Maryland,9th Grade,12th Grade,1304,169,37,39.653925,-76.878844,2-No,2-No,2-No,31-Town: Fringe,240021001672,Carroll County,†,21102,31-Town: Fringe,†,MD-06,MD-06-060602
MARRIOTTS RIDGE HIGH,Maryland,9th Grade,12th Grade,1419,47,9,39.321896,-76.934407,2-No,2-No,2-No,41-Rural: Fringe,240042001437,Howard County,†,21104,41-Rural: Fringe,†,MD-13,MD-13-130308
MAURICE J. MCDONOUGH HIGH SCHOOL,Maryland,9th Grade,12th Grade,872,209,38,38.555758,-77.035139,2-No,2-No,2-No,41-Rural: Fringe,240027000600,Charles County,†,20675,41-Rural: Fringe,†,MD-08,MD-08-080108
MEADE HIGH,Maryland,9th Grade,12th Grade,2039,835,169,39.122447,-76.737827,2-No,2-No,2-No,21-Suburb: Large,240006000099,Anne Arundel County,†,20755,21-Suburb: Large,†,MD-02,MD-02-023323
MERGENTHALER VOCATIONAL-TECHNICAL HIGH,Maryland,9th Grade,12th Grade,1706,1706,"=""0""",39.332233,-76.591098,2-No,2-No,2-No,11-City: Large,240009000280,Baltimore city,†,21218,11-City: Large,1-Yes,MD-30,MD-30-300410
MIDDLETOWN HIGH,Maryland,9th Grade,12th Grade,1135,95,19,39.446641,-77.534361,2-No,2-No,2-No,41-Rural: Fringe,240033000641,Frederick County,†,21769,41-Rural: Fringe,†,MD-10,MD-10-100313
MILFORD MILL ACADEMY,Maryland,9th Grade,12th Grade,1233,680,110,39.356486,-76.750057,1-Yes,2-No,2-No,21-Suburb: Large,240012000432,Baltimore County,†,21207,21-Suburb: Large,†,MD-03,MD-03-030271
MONTGOMERY BLAIR HIGH,Maryland,9th Grade,12th Grade,3196,1057,203,39.017919,-77.011501,1-Yes,2-No,2-No,21-Suburb: Large,240048000877,Montgomery County,†,20901,21-Suburb: Large,†,MD-15,MD-15-150757
MOUNT HEBRON HIGH,Maryland,9th Grade,12th Grade,1627,174,34,39.299347,-76.84016,2-No,2-No,2-No,21-Suburb: Large,240042000743,Howard County,†,21042,21-Suburb: Large,†,MD-13,MD-13-130207
MOUNTAIN RIDGE HIGH SCHOOL,Maryland,9th Grade,12th Grade,792,288,40,39.650263,-78.913692,2-No,2-No,2-No,23-Suburb: Small,240003001636,Allegany County,†,21532,23-Suburb: Small,†,MD-01,MD-01-012404
NEW ERA ACADEMY,Maryland,9th Grade,12th Grade,288,288,"=""0""",39.252954,-76.62129399999998,2-No,2-No,2-No,11-City: Large,240009001559,Baltimore city,†,21225,11-City: Large,1-Yes,MD-30,MD-30-300422
NEW TOWN HIGH,Maryland,9th Grade,12th Grade,1102,500,96,39.403226,-76.812423,2-No,2-No,2-No,21-Suburb: Large,240012001547,Baltimore County,†,21117,21-Suburb: Large,†,MD-03,MD-03-030473
NORTH CAROLINE HIGH SCHOOL,Maryland,9th Grade,12th Grade,1121,522,51,38.908802,-75.841102,2-No,2-No,2-No,41-Rural: Fringe,240018000523,Caroline County,†,21660,41-Rural: Fringe,1-Yes,MD-05,MD-05-050703
NORTH COUNTY HIGH,Maryland,9th Grade,12th Grade,2289,1025,190,39.193116,-76.637349,2-No,2-No,2-No,21-Suburb: Large,240006090441,Anne Arundel County,†,21061,21-Suburb: Large,2-No,MD-02,MD-02-021323
NORTH DORCHESTER HIGH SCHOOL,Maryland,9th Grade,12th Grade,496,496,"=""0""",38.587746,-75.87358499999998,2-No,2-No,2-No,42-Rural: Distant,240030000618,Dorchester County,†,21643,42-Rural: Distant,†,MD-09,MD-09-090207
NORTH EAST HIGH,Maryland,9th Grade,12th Grade,1029,330,56,39.585361,-75.933238,2-No,2-No,2-No,41-Rural: Fringe,240024000575,Cecil County,†,21901,41-Rural: Fringe,†,MD-07,MD-07-070514
NORTH HAGERSTOWN HIGH,Maryland,9th Grade,12th Grade,1338,557,77,39.66231,-77.7163,1-Yes,2-No,2-No,13-City: Small,240066001275,Washington County,†,21742,13-City: Small,1-Yes,MD-21,MD-21-212101
NORTH HARFORD HIGH,Maryland,9th Grade,12th Grade,1212,202,62,39.675955,-76.40034200000002,1-Yes,2-No,2-No,42-Rural: Distant,240039000710,Harford County,†,21132,42-Rural: Distant,†,MD-12,MD-12-120580
NORTH POINT HIGH SCHOOL,Maryland,9th Grade,12th Grade,1717,332,75,38.643076,-76.97678499999998,2-No,2-No,2-No,22-Suburb: Mid-size,240027001416,Charles County,†,20603,22-Suburb: Mid-size,†,MD-08,MD-08-080623
NORTHEAST HIGH,Maryland,9th Grade,12th Grade,1375,358,68,39.144402,-76.529089,2-No,2-No,2-No,21-Suburb: Large,240006000103,Anne Arundel County,†,21122,21-Suburb: Large,†,MD-02,MD-02-022023
NORTHERN GARRETT HIGH SCHOOL,Maryland,9th Grade,12th Grade,439,167,36,39.66449,-79.297646,2-No,2-No,2-No,42-Rural: Distant,240036000671,Garrett County,†,21520,42-Rural: Distant,†,MD-11,MD-11-110512
